時間 (s),位移 (in),速度 (in/s),加速度 (in/s²),彈簧力 (k)
1.0850,0.3164,4.1675,-210.3320,199.8580
1.0900,0.3346,3.0939,-219.1003,211.3246
1.0950,0.3473,1.9853,-224.3348,219.3452
1.1000,0.3544,0.8595,-225.9975,223.8375
1.1050,0.3559,-0.2658,-224.1069,224.7749
1.1100,0.3518,-1.3729,-218.7367,222.1872
1.1150,0.3422,-2.4448,-210.0142,216.1586
1.1200,0.3274,-3.4651,-198.1174,206.8261
1.1250,0.3077,-4.4186,-183.2717,194.3768
1.1300,0.2835,-5.2911,-165.7459,179.0439
1.1350,0.2551,-6.0701,-145.8473,161.1031
1.1400,0.2230,-6.7445,-123.9164,140.8672
1.1450,0.1879,-7.3051,-100.3214,118.6811
1.1500,0.1503,-7.7446,-75.4516,94.9158
1.1550,0.1108,-8.0575,-49.7119,69.9624
1.1600,0.0700,-8.2405,-23.5152,44.2258
1.1650,0.0287,-8.2925,2.7231,18.1181
1.1700,-0.0126,-8.2142,28.5926,-7.9481
1.1750,-0.0531,-8.0085,53.6933,-33.5658
1.1800,-0.0924,-7.6802,77.6424,-58.3401
1.1850,-0.1297,-7.2359,100.0800,-81.8944
1.1900,-0.1645,-6.6840,120.6741,-103.8755
1.1950,-0.1962,-6.0345,139.1258,-123.9596
1.2000,-0.2246,-5.2987,155.1732,-141.8561
1.2050,-0.2491,-4.4893,168.5954,-157.3126
1.2100,-0.2693,-3.6198,179.2153,-170.1179
1.2150,-0.2851,-2.7045,186.9017,-180.1047
1.2200,-0.2963,-1.7583,191.5710,-187.1520
1.2250,-0.3027,-0.7964,193.1877,-191.1862
1.2300,-0.3043,0.1660,191.7645,-192.1817
1.2350,-0.3011,1.1138,187.3615,-190.1608
1.2400,-0.2932,2.0324,180.0846,-185.1925
1.2450,-0.2808,2.9078,170.0832,-177.3913
1.2500,-0.2643,3.7269,157.5475,-166.9142
1.2550,-0.2437,4.4775,142.7052,-153.9584
1.2600,-0.2197,5.1488,125.8168,-138.7572
1.2650,-0.1925,5.7313,107.1717,-121.5760
1.2700,-0.1626,6.2169,87.0834,-102.7083
1.2750,-0.1306,6.5994,65.8837,-82.4697
1.2800,-0.0969,6.8739,43.9179,-61.1938
1.2850,-0.0621,7.0375,21.5388,-39.2260
1.2900,-0.0268,7.0891,-0.8986,-16.9182
1.2950,0.0085,7.0293,-23.0428,5.3764
1.3000,0.0432,6.8603,-44.5514,27.3097
1.3050,0.0769,6.5862,-65.0961,48.5433
1.3100,0.1088,6.2125,-84.3676,68.7540
1.3150,0.1387,5.7464,-102.0807,87.6385
