Time (s),Ground Accel (m/s²),Floor Disp (m),Floor Vel (m/s),Floor Accel (m/s²),Damper Rel Disp (m),Damper Rel Vel (m/s),Damper Rel Accel (m/s²),Damper Abs Disp (m),Damper Abs Accel (m/s²)
24.18,-0.09798362397,0.07143681761396341,-0.04851537474301935,0.02844893597075948,-0.21105348479047148,0.27893850526243813,0.10301996489609089,-0.13961666717650806,0.13146890086685037
24.19,-0.1374381981,0.07095408826739585,-0.048030494570491376,0.06852709853483507,-0.208259005291855,0.2799573944608559,0.10075787478746256,-0.13730491702445916,0.16928497332229764
24.2,-0.1639298088,0.0704778870505241,-0.047209748803859065,0.09562205479162766,-0.20545444785921133,0.2809540920678809,0.09858164661754565,-0.13497656080868722,0.1942037014091733
24.21,-0.17285592780000003,0.0700108085012025,-0.04620596106046051,0.10513549388808319,-0.20264003101461586,0.2819292768512117,0.09645531004861219,-0.13262922251341336,0.20159080393669537
24.22,-0.1651516443,0.06955382750212932,-0.045190238754175695,0.09800896736887832,-0.1998159684275621,0.28288324055953923,0.09433743161689201,-0.13026214092543278,0.19234639898577033
24.23,-0.14867329680000002,0.06910642795695515,-0.04428967028065846,0.08210472733456886,-0.19698247267275007,0.28381591040286824,0.09219653704892117,-0.12787604471579492,0.17430126438349003
24.24,-0.12568385610000002,0.06866707613227863,-0.04358069465464674,0.05969039786777397,-0.1941397583296245,0.28472695822224764,0.09001302682696555,-0.12547268219734586,0.14970342469473952
24.25,-0.11602267380000002,0.06823402658128114,-0.04302921554485096,0.05060542409138169,-0.19128804356173687,0.2856159953552763,0.08779439977877324,-0.12305401698045573,0.13839982387015493
24.26,-0.1377408366,0.06780682185360361,-0.04241172999065501,0.07289168674780722,-0.18842754885925997,0.2864829451401039,0.08559555718674894,-0.12062072700565636,0.15848724393455615
24.27,-0.1675739295,0.06738710871572541,-0.041530897584984405,0.10327479438631404,-0.18555849286403014,0.287328253905861,0.08346619596466176,-0.11817138414830473,0.1867409903509758
24.28,-0.1839779172,0.0669773868496822,-0.040413475623657824,0.1202095978790022,-0.1826810886369241,0.2881525915153503,0.08140132593319926,-0.11570370178724189,0.20161092381220147
24.29,-0.17729985780000002,0.06657910857557482,-0.039242179197817695,0.11404968728902365,-0.179795543765398,0.28895638278986796,0.07935692897034208,-0.11321643518982318,0.19340661625936573
24.3,-0.16428640230000002,0.06619207673088767,-0.03816418973961221,0.10154820435207224,-0.17690206359522687,0.2897396512443583,0.07729676192772594,-0.1107099868643392,0.17884496627979818
24.31,-0.1562162058,0.06581532316274794,-0.03718652388833522,0.09398496590332617,-0.17400085419765837,0.29050222826934047,0.07521864306870973,-0.10818553103491044,0.1692036089720359
24.32,-0.1503379557,0.06544802274450685,-0.0362735597598811,0.08860785978749763,-0.17109212317447609,0.29124397636711696,0.07313097648659472,-0.10564410042996923,0.16173883627409236
24.33,-0.1354727646,0.06508935834801385,-0.03545931953871886,0.0742401844449515,-0.16817607951081034,0.29196475636603114,0.0710250232962445,-0.10308672116279649,0.145265207741196
24.34,-0.11000934000000001,0.06473785306157763,-0.034841737748525926,0.04927617359363434,-0.16525293442355748,0.2926642610845408,0.06887592040568713,-0.10051508136197985,0.11815209399932147
24.35,-0.08885833254,0.06439138333159546,-0.034452208247908865,0.028629726529777355,-0.16232290304436,0.2933420147549549,0.06667481367713968,-0.09793151971276455,0.09530454020691703
24.36,-0.05925898251,0.06404756556984151,-0.034311344102880705,-0.00045689752414557194,-0.15938620564255107,0.2939974656068322,0.06441535669831844,-0.09533864007270956,0.06395845917417287
24.37,-0.01134618714,0.06370324470063807,-0.0345528297378074,-0.04784022946119382,-0.15644306902974145,0.29462985695509214,0.06206291295366462,-0.09273982432910338,0.0142226834924708
