Time (s),Ground Accel (m/s²),Floor Disp (m),Floor Vel (m/s),Floor Accel (m/s²),Damper Rel Disp (m),Damper Rel Vel (m/s),Damper Rel Accel (m/s²),Damper Abs Disp (m),Damper Abs Accel (m/s²)
7.03,-1.4115373560000002,-0.031676249201588076,-0.4101506058232114,1.4741530217708392,0.014178695125060588,-0.01596392169878264,-0.1421538508795377,-0.017497554076527488,1.3319991708913015
7.04,-2.544098913,-0.035675681743721,-0.3897359026033737,2.6087876221966932,0.014012063015660586,-0.017362500181217926,-0.13756184560752005,-0.021663618728060417,2.471225776589173
7.05,-3.48668001,-0.03941901141992558,-0.35893003263754136,3.5523863709697783,0.013831755870765289,-0.018698928797841373,-0.1297238777171692,-0.02558725554916029,3.4226624932526093
7.06,-4.128913242,-0.0428146348258824,-0.3201946485538234,4.194690445773823,0.01363853992319,-0.019944260717216455,-0.11934250615784703,-0.0291760949026924,4.075347939615976
7.07,-4.470757407,-0.0457983181538635,-0.27654201704239695,4.535835856511476,0.013433431309657101,-0.02107746198936331,-0.10729774827152361,-0.0323648868442064,4.428538108239952
7.08,-4.554955656000001,-0.04833487360300607,-0.23076907278611627,4.618752994744661,0.013217613813797767,-0.022086037182503605,-0.09441729035653545,-0.0351172597892083,4.524335704388125
7.09,-4.3972147800000005,-0.05041561207202984,-0.18537862101863764,4.459337358751064,0.012992356719059675,-0.022965381765114774,-0.08145162616569812,-0.03742325535297016,4.377885732585366
7.1,-4.019071653,-0.052055931796497625,-0.1426853238749195,4.079322069992564,0.012758938989544718,-0.02371816413787658,-0.06910484838666364,-0.03929699280695291,4.010217221605901
7.11,-3.500238411,-0.05329183711616574,-0.10449574005870327,3.558594693250683,0.012518581305534642,-0.024353372664138628,-0.0579368568657459,-0.0407732558106311,3.5006578363849368
7.12,-2.9538557460000003,-0.054172569455247774,-0.07165072775770381,3.010407766949207,0.012272393594224685,-0.024884169597852827,-0.04822252987709441,-0.04190017586102309,2.962185237072113
7.13,-2.48031135,-0.0547504370446115,-0.043922790115041625,2.5351797615832297,0.01202134842221256,-0.025324864804572196,-0.03991651146677966,-0.04272908862239894,2.49526325011645
7.14,-2.092604454,-0.05507263816650598,-0.02051743426385473,2.1458914086541494,0.011766281847000709,-0.02568845023779787,-0.032800575178354885,-0.043306356319505274,2.1130908334757947
7.15,-1.6702741440000002,-0.05518111270929047,-0.0011774742930429141,1.7221005855082137,0.011507906935639309,-0.025986532034482132,-0.026815784158497058,-0.043673205773651164,1.6952848013497166
7.16,-1.079293257,-0.05512158738124325,0.013082539902486735,1.1299022535977161,0.011246814039124003,-0.026232047268579004,-0.022287262660876772,-0.04387477334211925,1.1076149909368393
7.17,-0.3811183038,-0.05495174156414546,0.020886623517072062,0.4309144693193496,0.010983445040260977,-0.02644175250402639,-0.019653784428599996,-0.04396829652388448,0.41126068489074963
7.18,0.2200274109,-0.05473636686098636,0.022188317114747485,-0.17057574978426482,0.010718062245583958,-0.026634806431377295,-0.0189570010415816,-0.044018304615402404,-0.18953275082584642
7.19,0.6081188589000001,-0.054532713393611,0.018542376360324256,-0.558612401100381,0.010450746418673567,-0.026828358950700994,-0.019753502823158575,-0.04408196697493744,-0.5783659039235396
7.2,0.8305070463,-0.05438077140054687,0.011846022252502465,-0.7806584204639777,0.010181431756379079,-0.02703457350819661,-0.02148940867596516,-0.04419933964416779,-0.8021478291399429
7.21,0.9572295852,-0.054304498440042225,0.0034085698484262027,-0.9068320603512747,0.009909954265651376,-0.027260924637343864,-0.023780817153486344,-0.04439454417439085,-0.9306128775047611
7.22,0.997840827,-0.05431675222568161,-0.0058593269763029384,-0.9467473045945534,0.009636091523780171,-0.0275116237368971,-0.026359002757161187,-0.04468066070190144,-0.9731063073517146
7.23,0.9506794482,-0.05442148436730076,-0.0150871013475271,-0.8988075696502786,0.009359592223775106,-0.027788236264115983,-0.02896350268661485,-0.045061892143525656,-0.9277710723368935
7.24,0.8376664824000001,-0.05461445052544977,-0.023506130282275006,-0.7849982172993029,0.009080201747312418,-0.028089859028421604,-0.03136105017450874,-0.04553424877813735,-0.8163592674738116
