route_id,route_name
0100000A00,0東
0100000B00,0南
0400089600,896
0400089700,897
0400089720,897區
0400089900,899
0100090200,902
0100090220,902區
0100090500,905
0400090600,906
0400090900,909
0100091200,912
0400091300,913
0400091800,918
0400091820,918區
0400091900,919
0400093300,933
0400093500,935
0400093800,938
0100094900,949
0100095000,950
0100095700,957
0415002900,960
0400096300,963
0410098100,981
0410098200,982
0410098220,982區
0410098230,982直達
0410098240,982直達新埔線
0400098300,983
0410098500,985萬大樹林先導公車
0412000100,藍1
0415000100,橘1
0111000200,紅2
0114000200,棕2
0412000200,藍2
0415000200,橘2
0413000200,綠2右
0413000270,綠2左
0410000200,藍海2線先導公車
0111000320,紅3區
0111000500,紅5
0413000500,綠5
0415000500,橘5
0114000600,棕6
0413000600,綠6
0111000700,紅7
0112000700,藍7
0413000700,綠7
0414000700,棕7
0111000720,紅7區
0112000710,藍7副
0414000790,棕7建業路
0414000770,棕7綠野香坡
0413000800,綠8
0415000900,橘9
0111001000,紅10
0112001000,藍10
0413001000,綠10
0415001000,橘10
0111001020,紅10區
0152003500,通勤11
0111001200,紅12
0152003600,通勤12
0411001300,紅13
0413001300,綠13
0415001300,橘13
0152003700,通勤13
0111001500,紅15
0412001500,藍15
0413001500,綠15
0152003800,通勤16
0412001700,藍17
0415001700,橘17
0412001800,藍18
0152004500,通勤18
0415001900,橘19
0415001910,橘19副
0112002020,藍20區
0412002100,藍21
0152004400,通勤21
0412002110,藍21副
0411002200,紅22
0412002200,藍22
0152004200,通勤22
0411002300,紅23
0412002300,藍23
0152004700,通勤24
0112002500,藍25
0415002500,橘25
0152004900,通勤25
0411002600,紅26
0415002600,橘26
0152005000,通勤26
0411002700,紅27
0152005100,通勤27
0411002800,紅28
0152005200,通勤28
0411002830,紅28直
0111002900,紅29
0152005300,通勤29
0111003100,紅31
0112003600,藍36
0411003600,紅36
0411003700,紅37
0412003700,藍37
0411003790,紅37行經海洋都心社區
0411003800,紅38
0412003800,藍38
0411003900,紅39
0412003900,藍39
0412004100,藍41
0412004170,藍41延和
0412004400,藍44
0412004470,藍44延
0412004500,藍45
0412004600,藍46
0111005000,紅50
0411005100,紅51
0411005300,紅53
0161000600,中山幹線
